127.0.0.1 - - [29/Aug/2022:13:58:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:52 +0900] "GET /pm80/User/mypage/loginout/login.jsp HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:52 +0900] "GET /pm80/User/mypage/loginout/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:52 +0900] "GET /pm80/User/mypage/loginout/logincss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:52 +0900] "GET /pm80/User/mypage/loginout/logincss/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:52 +0900] "GET /pm80/ico/favicon-32x32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "POST /pm80/User/mypage/loginout/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "GET /pm80/User/mypage/home HTTP/1.1" 500 7016
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "GET /pm80/assets/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "GET /pm80/User/mypage/homecss/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "GET /pm80/assets/dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "GET /pm80/img/radius_img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "GET /pm80/img/radius_img02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "GET /pm80/img/radius_img03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:58:59 +0900] "GET /pm80/img/slider_img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:59:01 +0900] "GET /pm80/Qna/qnaInfo/find.do HTTP/1.1" 200 6004
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:59:01 +0900] "GET /pm80/Qna/qnacss/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2022:13:59:01 +0900] "GET /pm80/Qna/findqna/board.css HTTP/1.1" 200 1360
